Wall time,Step,Value
1755413528.938463,1,0.028312159702181816
1755413547.2328324,2,0.002356266137212515
1755413565.255199,3,0.003806282300502062
1755413583.3297894,4,0.003497472731396556
1755413601.509301,5,0.0018387975869700313
1755413619.8741202,6,0.0015197029570117593
1755413638.1423717,7,0.0013726108008995652
1755413656.4302273,8,0.0018887936603277922
1755413674.2441237,9,0.008593011647462845
1755413692.4670908,10,0.00537982489913702
1755413710.5518837,11,0.0017877924256026745
1755413728.6362638,12,0.0025080249179154634
1755413746.8950212,13,0.0021884546149522066
1755413765.3101618,14,0.0010399969760328531
1755413783.3808599,15,0.0012657754123210907
1755413801.4293027,16,0.0006268154829740524
1755413820.1506116,17,0.0009411587379872799
1755413838.374334,18,0.005115244071930647
1755413856.6799722,19,0.0012795981019735336
1755413875.1767852,20,0.0013706698082387447
1755413893.1009257,21,0.0015809466131031513
1755413910.9255793,22,0.0012836327077820897
1755413929.3492641,23,0.0026619615964591503
1755413947.6334734,24,0.0017697871662676334
1755413965.7683275,25,0.0014553118962794542
1755413984.1219966,26,0.001229375833645463
1755414002.432296,27,0.0006406516185961664
1755414020.5045207,28,0.0015366709558293223
1755414038.932127,29,0.0007803544285707176
1755414057.0646853,30,0.0012970945099368691
1755414074.9023333,31,0.0017521254485473037
1755414093.2121365,32,0.0007245596498250961
1755414111.0403905,33,0.0006077146390452981
1755414129.058294,34,0.0006639919010922313
1755414147.075808,35,0.0007232191856019199
1755414165.3743734,36,0.0006689689471386373
1755414183.5424323,37,0.000775391235947609
1755414201.3484435,38,0.0008181381272152066
1755414219.3437898,39,0.0006677777855657041
1755414237.4637527,40,0.0005442753899842501
1755414255.2942638,41,0.0007553942268714309
1755414273.5288875,42,0.0007201678236015141
1755414291.826119,43,0.00026749714743345976
1755414310.2563155,44,0.0002258927997900173
1755414328.4214382,45,0.0005994553212076426
1755414346.6232362,46,0.0022050959523767233
1755414364.9732356,47,0.001863233046606183
1755414383.2540703,48,0.0015962132019922137
1755414401.2485101,49,0.0017301165498793125
1755414419.5684688,50,0.0010080880019813776
1755414437.5993786,51,0.0006038736901246011
1755414455.8296893,52,0.0007499987841583788
1755414474.7217426,53,0.0005604565958492458
1755414493.8607173,54,0.0008735490846447647
1755414512.71729,55,0.0014359222259372473
1755414531.1745589,56,0.0007438233587890863
1755414550.152687,57,0.0005921859992668033
1755414568.7713978,58,0.0008729121764190495
1755414588.2254207,59,0.0004743967729154974
1755414607.9832122,60,0.0008409068686887622
1755414626.713023,61,0.0005264473729766905
1755414645.1241713,62,0.0004208142345305532
1755414663.5350034,63,0.00034495757427066565
1755414681.988633,64,0.0015270642470568419
1755414700.6967654,65,0.0015242263907566667
1755414719.1537588,66,0.0004433792200870812
1755414737.2627168,67,0.0003378468391019851
1755414755.5662954,68,0.0014655747218057513
1755414774.2520294,69,0.0020538761746138334
1755414792.5071237,70,0.0012594370637089014
1755414810.4346678,71,0.002215399406850338
1755414828.4485488,72,0.0015329194720834494
1755414846.7204874,73,0.001366382115520537
1755414865.2824614,74,0.000698828836902976
1755414883.5316627,75,0.00115491496399045
1755414901.8233051,76,0.0010421716142445803
1755414920.4024813,77,0.0011537621030583978
1755414939.9169905,78,0.0008672341937199235
1755414958.7795897,79,0.00045051000779494643
1755414977.1726387,80,0.0005342761287465692
1755414995.1713285,81,0.0003775494114961475
1755415013.3917367,82,0.0003671874583233148
1755415031.8326979,83,0.0006350927287712693
1755415049.9432461,84,0.0005650112289004028
1755415068.3880281,85,0.0005621698801405728
1755415086.5411484,86,0.0006895908736623824
1755415104.94197,87,0.00035020316136069596
1755415123.4049556,88,0.000307758484268561
1755415141.8278,89,0.0007826737710274756
1755415159.7208898,90,0.00044185161823406816
1755415177.962182,91,0.00039602501783519983
1755415196.438967,92,0.0003082800831180066
1755415214.8655794,93,0.00034427267382852733
1755415233.4775355,94,0.0006188977276906371
1755415251.520576,95,0.0005662800394929945
1755415270.8006384,96,0.0002322750078747049
1755415288.7221904,97,0.0004934643511660397
1755415306.7061613,98,0.0006656999466940761
1755415325.0052173,99,0.0009430033387616277
1755415343.494983,100,0.00031042631599120796
